POP_TOT_2022,A2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
5096,1100,365,72
7303,1100,624,85
11985,1100,887,74
10781,1100,777,72
6404,1100,605,94
13792,1100,719,52
12114,1100,794,66
11108,1100,1087,98
12789,1100,1229,96
7353,1100,780,106
3543,1100,328,93
11950,1100,845,71
12877,1100,811,63
10756,1100,961,89
6482,1105,637,98
5385,1110,411,76
13295,1110,732,55
3405,1115,246,72
4460,1115,469,105
5879,1115,432,73
4182,1115,195,47
6728,1115,619,92
12311,1115,651,53
4092,1115,259,63
7084,1115,628,89
3208,1120,415,129
3755,1125,361,96
4095,1125,566,138
4750,1125,637,134
3686,1125,364,99
15199,1125,1777,117
5641,1125,542,96
6902,1125,662,96
3765,1125,464,123
4078,1125,380,93
3493,1125,328,94
5494,1125,486,89
3050,1125,241,79
3823,1125,370,97
3354,1125,342,102
6233,1125,426,68
9915,1125,1012,102
4250,1125,402,95
4726,1125,668,141
3617,1125,314,87
10413,1125,1105,106
5297,1125,657,124
3512,1125,370,105
4020,1125,546,136
5090,1125,633,124
9336,1125,970,104
4489,1125,542,121
4932,1125,585,119
3838,1125,334,87
3317,1125,267,80
6436,1125,708,110
5802,1125,559,96
4411,1125,516,117
3058,1125,224,73
4106,1125,383,93
4969,1125,454,91
11740,1125,884,75
12962,1125,971,75
9353,1125,1171,125
5288,1125,552,104
10661,1125,1059,99
13115,1125,1484,113
10309,1125,960,93
8194,1125,962,117
4611,1125,359,78
13460,1125,964,72
15193,1125,1607,106
8239,1125,542,66
6888,1125,476,69
